team,PPDA
Spain,1.9349999999999998
Turkey,2.0366666666666666
Poland,2.0366666666666666
Austria,2.1625
Netherlands,2.175
Scotland,2.2566666666666664
Croatia,2.2725
Slovakia,2.38
Czech Republic,2.416
Germany,2.445
England,2.642857142857143
Switzerland,2.658
Italy,2.682857142857143
Finland,2.7533333333333334
Denmark,2.7533333333333334
Russia,2.796666666666667
Ukraine,2.916
Wales,2.9825
France,3.0175
North Macedonia,3.106666666666667
Portugal,3.1525
Belgium,3.3920000000000003
Hungary,3.7433333333333336
Sweden,3.9875
